Recipe Name,Ingredients,Link
Keema Bhindi Masala Recipe - Okra & Minced Meat Curry,"Bhindi (Lady Finger/Okra), Salt, Mustard oil, Chicken, Mustard oil, Green Chillies, Onions, Ginger, Garlic, Homemade tomato puree, Turmeric powder (Haldi), Red Chilli powder, Coriander Powder (Dhania), Garam masala powder, Salt, Kasuri Methi (Dried Fenugreek Leaves), Coriander (Dhania) Leaves",https://www.archanaskitchen.com/keema-bhindi-recipe-okra-minced-meat-curry
Spinach And Tomato Quiche Recipe,"All Purpose Pie Crust, Whole Eggs, Milk, Spinach Leaves (Palak), Onion, Garlic, Rosemary, Salt",https://www.archanaskitchen.com/spinach-and-tomato-quiche-recipe
Pudalangai Poriyal Recipe  - Snake Gourd Poriyal Recipe,"Snake gourd (pudulangai), Onion, Green Chillies, Cumin powder (Jeera), Turmeric powder (Haldi), Oil, Mustard seeds (Rai/ Kadugu), Fresh coconut, Salt, Curry leaves",https://www.archanaskitchen.com/pudalangai-poriyal-recipe-snake-gourd-poriyal-recipe
Mushroom filled Vol-au-Vent Recipe,"Puff Pastry Sheet, Button mushrooms, Garlic, Fresh cream, Fresh Thyme leaves, Red Chilli flakes, Lemon juice, Salt, Whole Black Peppercorns",https://www.archanaskitchen.com/mushroom-filled-vol-au-vent-recipe
Mangalorean Style Lobia Gassi Recipe - Black Eyed Peas In Coconut Curry,"Shallots, Cloves (Laung), Fresh coconut, Dry Red Chillies, Coriander (Dhania) Seeds, Cumin seeds (Jeera), Methi Seeds (Fenugreek Seeds), Whole Black Peppercorns, Curry leaves, Tamarind, Black Eyed Beans (Lobia), Coconut milk, Turmeric powder (Haldi), Cinnamon Stick (Dalchini), Mustard seeds (Rai/ Kadugu), Garlic, Dry Red Chilli, Asafoetida (hing), Oil, Salt",https://www.archanaskitchen.com/mangalorean-style-lobia-gazzi-recipe-black-eyed-peas-in-coconut-curry-recipe
Curry Fried Quinoa Rice Recipe,"Quinoa, Brown Rice, Carrots (Gajjar), Green peas (Matar), Red Bell pepper (Capsicum), Curry leaves, Onions, Extra Virgin Olive Oil, Garlic, Whole Eggs, Curry powder, Soy sauce, Brown Sugar (Demerara Sugar), Salt, Black pepper powder",https://www.archanaskitchen.com/curry-fried-quinoa-rice-recipe
Mangalorean Chana Gassi Recipe,"Kabuli Chana (White Chickpeas), Salt, Dry Red Chillies, Garlic, Coriander (Dhania) Seeds, Fresh coconut, Tamarind Paste, Turmeric powder (Haldi), Salt, Water, Coconut Oil, Mustard seeds (Rai/ Kadugu), Methi Seeds (Fenugreek Seeds), Asafoetida (hing), Curry leaves",https://www.archanaskitchen.com/mangalorean-chana-gassi-recipe
Curried Butternut Squash Soup Recipe,"Butternut squash, Onion, Ginger, Garlic, Red Chilli powder, Coriander Powder (Dhania), Cumin powder (Jeera), Garam masala powder, Salt, Milk, Water, Extra Virgin Olive Oil, Extra Virgin Olive Oil, Pumpkin seeds, Whole Black Peppercorns, Coriander (Dhania) Leaves",https://www.archanaskitchen.com/curried-butternut-squash-soup
Chamadumpa Vepudu Recipe - Andhra Style Colocasia Stir Fry | Arbi Sabzi,"Colocasia root (Arbi), Red Chilli powder, Turmeric powder (Haldi), Amchur (Dry Mango Powder), Coriander (Dhania) Powder, Asafoetida (hing), Salt, Gingelly oil, Mustard seeds (Rai/ Kadugu), White Urad Dal (Split), Dry Red Chilli, Curry leaves",https://www.archanaskitchen.com/andhra-style-chamadumpa-vepudu-recipe-colocassia-stir-fry-recipe
Andhra Style Sorakaya Kura Recipe - Bottle Gourd And Toor Dal Recipe,"Bottle gourd (lauki), Arhar dal (Split Toor Dal), Mustard seeds (Rai/ Kadugu), Curry leaves, Asafoetida (hing), Cumin seeds (Jeera), Tomatoes, Green Chilli, Black pepper powder, Turmeric powder (Haldi), Red Chilli powder",https://www.archanaskitchen.com/andhra-style-sorakaya-kura-recipe-bottle-gourd-and-toor-dal-recipe
Beetroot Dip Rosemary Crostini Recipe With Fine Cheddar And Avocados,"Baguette, Avocados, Cheddar cheese, Beetroot dip, Parsley leaves, Cayenne Pepper",https://www.archanaskitchen.com/rosemary-crostini-with-fine-cheddar-beetroot-dip-and-avocados
Togari Bele Tovve Recipe  - Toor Dal Rasam,"Arhar dal (Split Toor Dal), Water, Turmeric powder (Haldi), Ginger, Green Chillies, Tamarind, Lemon juice, Ghee, Mustard seeds (Rai/ Kadugu), Asafoetida (hing), Curry leaves, Coriander (Dhania) Leaves",https://www.archanaskitchen.com/togaribele-tovve-recipe-red-gram-dal-rasam
Light And Healthy Spinach Soup Recipe,"Spinach Leaves (Palak), Extra Virgin Olive Oil, Garlic, Coriander (Dhania) Leaves, Milk, Vegetable stock, Black pepper powder, Salt",https://www.archanaskitchen.com/light-and-healthy-spinach-soup-recipe
Kadali Bhanda O Chingudi Tarkari Recipe (Odia Style Banana Blossom & Prawn Curry),"Banana flower (Vazhaipoo), Prawns, Potato (Aloo), Onion, Bay leaf (tej patta), Cinnamon Stick (Dalchini), Cardamom (Elaichi) Pods/Seeds, Cloves (Laung), Dry Red Chillies, Cumin seeds (Jeera), Ginger Garlic Paste, Cumin powder (Jeera), Sugar, Turmeric powder (Haldi), Garam masala powder, Red Chilli powder, Mustard oil, Salt, Fresh coconut",https://www.archanaskitchen.com/kadali-bhanda-o-chingudi-tarkari-recipe-odia-style-banana-blossom-prawn-curry
Konkani Style Vali Bendi Recipe-Malabar Spinach Curry,"Spinach Leaves (Palak), Garlic, Salt, Fresh coconut, Dry Red Chillies, Tamarind",https://www.archanaskitchen.com/konkani-style-vali-bendi-recipe-malabar-spinach-curry
Zucchini Salad with Barbecue Sauce Dressing Recipe,"Green zucchini, Carrot (Gajjar), Yellow Bell Pepper (Capsicum), Red Bell pepper (Capsicum), Sesame seeds (Til seeds), Mixed Herbs (Dried), Barbeque sauce, Lemon juice, Red Chilli flakes, Extra Virgin Olive Oil, Salt",https://www.archanaskitchen.com/zucchini-salad-with-barbecue-sauce-dressing-recipe
Whole Wheat Soya Keema Kulchas,"Whole Wheat Flour, Curd (Dahi / Yogurt), Milk, Ajwain (Carom seeds), Baking soda, Sugar, Oil, Lukewarm Water, Soy granules, Onions, Cumin seeds (Jeera), Red Chilli powder, Turmeric powder (Haldi), Garam masala powder, Coriander Powder (Dhania), Garlic, Ginger, Oil, Lemon juice, Salt, Coriander (Dhania) Leaves, Green Chillies, Mint Leaves (Pudina), Ghee",https://www.archanaskitchen.com/whole-wheat-soya-keema-kulchas
Lemon Coriander Soup Recipe,"Oil, Garlic, Ginger, Spring Onion (Bulb & Greens), Coriander (Dhania) Leaves, Carrots (Gajjar), Water, Salt, Black pepper powder, Corn flour, Lemon juice",https://www.archanaskitchen.com/lemon-coriander-soup-recipe
Goan Chana Ros Recipe (White Peas Curry),"Dried Green Peas (Vatana), Onion, Fresh coconut, Dry Red Chillies, Coriander (Dhania) Seeds, Cloves (Laung), Tamarind, Turmeric powder (Haldi), Salt",https://www.archanaskitchen.com/goan-chana-ros-recipe-white-peas-curry
Mixed Sprouts Sabzi Recipe,"Mixed Sprouts, Water, Oil, Cumin seeds (Jeera), Asafoetida (hing), Onion, Ginger Garlic Paste, Tomato, Green Chillies, Turmeric powder (Haldi), Salt, Red Chilli powder, Cumin powder (Jeera), Garam masala powder, Coriander Powder (Dhania), Coriander (Dhania) Leaves",https://www.archanaskitchen.com/mixed-sprouts-sabzi-recipe
French Brioche Recipe (Savoury Version),"All Purpose Flour (Maida), Salt, Active dry yeast, Sugar, Whole Eggs, Butter (Salted), Milk, Homemade Pizza And Pasta Sauce, Milk, Oil",https://www.archanaskitchen.com/french-brioche-recipe-savoury-version
Andhra Style Patoli Recipe (Dal Usli/ Crumbled Dal Recipe),"Chana dal (Bengal Gram Dal), Green Chilli, Mustard seeds (Rai/ Kadugu), White Urad Dal (Split), Cumin seeds (Jeera), Curry leaves, Asafoetida (hing), Onion, Ginger Garlic Paste, Red Chilli powder, Turmeric powder (Haldi), Salt, Oil",https://www.archanaskitchen.com/andhra-style-patoli-recipe-dal-usli-crumbled-dal-recipe
Kathirikai UrulaiKizhanghu Pachidi Recipe (Brinjals And Potatoes With Moong Dal),"Yellow Moong Dal (Split), Turmeric powder (Haldi), Shallots, Tomato, Brinjal (Baingan / Eggplant), Potatoes (Aloo), Green Chillies, Salt, Coriander (Dhania) Leaves, Oil, Curry leaves, Dry Red Chillies, Mustard seeds (Rai/ Kadugu), White Urad Dal (Split)",https://www.archanaskitchen.com/kathirikai-urulaikizhanghu-pachidi-recipe-brinjals-and-potatoes-with-moong-dal
Spinach And Millet Pulav Recipe,"Foxtail Millet, Ginger, Tomatoes, Green Chillies, Bay leaves (tej patta), Cardamom (Elaichi) Pods/Seeds, Turmeric powder (Haldi), Cumin powder (Jeera), Spinach Leaves (Palak), Salt, Oil, Ghee",https://www.archanaskitchen.com/spinach-and-millet-pulav-recipe
Whole Wheat Seeded Loaf Recipe,"Whole Wheat Flour, All Purpose Flour (Maida), Sunflower seeds, Ajwain (Carom seeds), Salt, Active dry yeast, Lukewarm Water, Oil",https://www.archanaskitchen.com/whole-wheat-seeded-loaf
"Avocado, Grapefruit And Walnut Salad Recipe","Avocado, Grapefruit, Cherry tomatoes, Walnuts, Mixed Greens, Lemon juice, Extra Virgin Olive Oil, White vinegar, Soy sauce, Honey, Shallots, Dijon Mustard, Salt, Black pepper powder",https://www.archanaskitchen.com/avocado-grapefruit-and-walnut-salad-recipe
Andhra Style Vankaya Kothimeera Karam Koora Recipe,"Small Brinjal (Baingan / Eggplant), Coriander (Dhania) Leaves, Green Chillies, Salt, Oil",https://www.archanaskitchen.com/andhra-style-vankaya-kothimeera-karam-koora-recipe
Muga Ambat Recipe,"Green Moong Sprouts, Fresh coconut, Dry Red Chillies, Turmeric powder (Haldi), Tamarind Water, Salt, Water, Oil, Oil, Dry Red Chillies, Mustard seeds (Rai/ Kadugu), Onion, Curry leaves",https://www.archanaskitchen.com/muga-ambat-recipe
Chicken With Mushroom Sauce Recipe,"Chicken breasts, Button mushrooms, Onion, Garlic, Dried Thyme Leaves, Red Chilli flakes, Black pepper powder, Milk, Corn flour, Salt, Butter (Unsalted)",https://www.archanaskitchen.com/chicken-with-mushroom-sauce-recipe
Kodava Kummu Curry Recipe- Coorg Style Mushroom Curry,"Button mushrooms, Green Chillies, Dry Red Chillies, Whole Black Peppercorns, Onion, Tomatoes, Curry leaves, Coriander (Dhania) Seeds, Turmeric powder (Haldi), Salt, Oil, Fresh coconut, Cumin seeds (Jeera), Garlic",https://www.archanaskitchen.com/kodava-kummu-curry-recipe-coorg-style-mushroom-curry
Malai Kofta Curry Recipe - Creamy and Healthy Paneer Aloo Kofta Curry,"Potatoes (Aloo), Paneer (Homemade Cottage Cheese), Garam masala powder, Red Chilli powder, Gram flour (besan), Coriander (Dhania) Leaves, Sultana Raisins, Salt, Oil, Ghee, Ginger, Garlic, Onion, Homemade tomato puree, Coriander Powder (Dhania), Garam masala powder, Turmeric powder (Haldi), Red Chilli powder, Cardamom Powder (Elaichi), Honey, Fresh cream, Kasuri Methi (Dried Fenugreek Leaves), Salt",https://www.archanaskitchen.com/healthy-malai-kofta-recipe
Mangalore Cucumber Chana Dal Subzi Recipe,"Mangalorean cucumber, Chana dal (Bengal Gram Dal), Cumin seeds (Jeera), Bay leaf (tej patta), Ginger, Tomato, Coriander Powder (Dhania), Turmeric powder (Haldi), Red Chilli powder, Sugar, Coriander (Dhania) Leaves, Oil, Cumin seeds (Jeera), Dry Red Chillies, Salt",https://www.archanaskitchen.com/mangalore-cucumber-chana-dal-subzi-recipe
Raw Mango Puliyogare Gojju Recipe With Peanuts,"Mango (Raw), Mustard seeds (Rai/ Kadugu), White Urad Dal (Split), Chana dal (Bengal Gram Dal), Curry leaves, Raw Peanuts (Moongphali), Jaggery, Asafoetida (hing), Oil, Black sesame seeds, Dry Red Chillies, Coriander (Dhania) Seeds, Mustard seeds (Rai/ Kadugu), Methi Seeds (Fenugreek Seeds), Cumin seeds (Jeera), Whole Black Peppercorns",https://www.archanaskitchen.com/raw-mango-puliogare-gojju-recipe
Chicken Yakisoba Recipe - Japanese Noodles,"Chicken breasts, Salt, Corn flour, Black pepper powder, Oil, Yakisoba noodles, Oil, Onion, Carrot (Gajjar), Cabbage (Patta Gobi/ Muttaikose), Spring Onion Greens, Button mushrooms, Soy sauce, Red Wine Vinaigrette, Brown Sugar (Demerara Sugar), Worcestershire sauce, Green Chilli",https://www.archanaskitchen.com/chicken-yakisoba-recipe-japanese-noodles
Beerakaya Tomato Koora Recipe (Andhra Style Ridge Gourd Curry),"Ridge Gourd (Turai/ Peerkangai), Onion, Tomatoes, Garlic, Jaggery, Red Chilli powder, Coriander Powder (Dhania), Turmeric powder (Haldi), Methi Seeds (Fenugreek Seeds), Fennel seeds (Saunf), Curry leaves, Mustard seeds (Rai/ Kadugu), Asafoetida (hing), Coriander (Dhania) Leaves, Dry Red Chilli, Oil, Salt",https://www.archanaskitchen.com/beerakaya-tomato-koora-recipe-andhra-style-ridge-gourd-curry
Shrimp Deviled Eggs Recipe,"Whole Eggs, Spring Onion (Bulb & Greens), Shrimps, Classic Mayonnaise (With Egg), English Mustard Sauce, Black pepper powder, Garlic powder, Spring Onion Greens, Salt",https://www.archanaskitchen.com/shrimp-deviled-eggs-recipe
Gobi Matar ki Sabzi Recipe | Easy Cauliflower and Green Peas Curry,"Cauliflower (gobi), Green peas (Matar), Oil, Cumin seeds (Jeera), Onion, Garlic, Green Chillies, Ginger, Tomatoes, Turmeric powder (Haldi), Red Chilli powder, Coriander Powder (Dhania), Garam masala powder, Salt, Coriander (Dhania) Leaves",https://www.archanaskitchen.com/gobi-matar-ki-sabzi-recipe-easy-cauliflower-and-green-peas-curry
Grilled Winter Vegetable Salad Recipe,"Green zucchini, Red Bell pepper (Capsicum), Orange Bell pepper (Capsicum), Japanese Eggplant, Onion, Extra Virgin Olive Oil, Salt, Dried basil leaves, Dried oregano, Extra Virgin Olive Oil, Red Wine Vinaigrette, Honey, Tabasco Original - Hot Sauce, Salt",https://www.archanaskitchen.com/grilled-summer-vegetable-salad
Gobi Matar ki Sabzi Recipe | Easy Cauliflower and Green Peas Curry,"Cauliflower (gobi), Green peas (Matar), Oil, Cumin seeds (Jeera), Onion, Garlic, Green Chillies, Ginger, Tomatoes, Turmeric powder (Haldi), Red Chilli powder, Coriander Powder (Dhania), Garam masala powder, Salt, Coriander (Dhania) Leaves",https://www.archanaskitchen.com/gobi-matar-ki-sabzi-recipe-easy-cauliflower-and-green-peas-curry
Grilled Winter Vegetable Salad Recipe,"Green zucchini, Red Bell pepper (Capsicum), Orange Bell pepper (Capsicum), Japanese Eggplant, Onion, Extra Virgin Olive Oil, Salt, Dried basil leaves, Dried oregano, Extra Virgin Olive Oil, Red Wine Vinaigrette, Honey, Tabasco Original - Hot Sauce, Salt",https://www.archanaskitchen.com/grilled-summer-vegetable-salad
Kerala Style Brinjal Curry Recipe | Spicy Eggplant Curry in Coconut Milk,"Baby brinjals, Turmeric powder (Haldi), Salt, Coconut Oil, Coconut Oil, Mustard seeds (Rai/ Kadugu), Fennel seeds (Saunf), Curry leaves, Green Chillies, Pearl onions (Sambar Onions), Turmeric powder (Haldi), Red Chilli powder, Tomatoes, Coconut milk, Salt, Coriander (Dhania) Leaves",https://www.archanaskitchen.com/kerala-style-eggplant-curry-recipe
Sweet Potato And Broccoli Sabzi Recipe,"Broccoli, Sweet Potato, Cumin powder (Jeera), Turmeric powder (Haldi), Salt, Kalonji (Onion Nigella Seeds), Oil, Red Chilli powder, Salt",https://www.archanaskitchen.com/stir-fried-potatoes-with-broccoli-recipe-aloo-broccoli-sabzi
Thai Lemongrass Rice Recipe,"Jasmine Rice, Lemon Grass, Cardamom (Elaichi) Pods/Seeds",https://www.archanaskitchen.com/thai-lemongrass-rice-recipe
Bengali Sukto Recipe - Mixed Vegetable Curry,"Karela (Bitter Gourd/ Pavakkai), Sweet Potato, Brinjal (Baingan / Eggplant), Kaddu (Parangikai/ Pumpkin), Drumstick, Raw papaya, Ridge Gourd (Turai/ Peerkangai), Badi (wadi), Plantain Stem, Mustard seeds (Rai/ Kadugu), Poppy seeds, Sugar, Milk, Turmeric powder (Haldi), Cumin powder (Jeera), Methi Seeds (Fenugreek Seeds), Dry Red Chilli, Bay leaf (tej patta), Ginger, Ghee, Mustard oil, Salt",https://www.archanaskitchen.com/sukto-recipe-bengali-style-mixed-vegetable
Panasa Pottu Aava Koora Recipe - Andhra Style Mustard Flavoured Raw Jackfruit Curry,"Jackfruit Raw (Kathal), Tamarind Paste, Green Chillies, Oil, Water, Mustard seeds (Rai/ Kadugu), White Urad Dal (Split), Chana dal (Bengal Gram Dal), Dry Red Chilli, Asafoetida (hing), Curry leaves, Salt, Cashew nuts, Turmeric powder (Haldi), Mustard seeds (Rai/ Kadugu), Sesame seeds (Til seeds), Dry Red Chilli",https://www.archanaskitchen.com/panasapottu-aavakura
Masala Vada Curry Recipe - Chana Dal Vada Curry Recipe,"Chana dal (Bengal Gram Dal), Dry Red Chilli, Curry leaves, Fennel seeds (Saunf), Oil, Cinnamon Stick (Dalchini), Cloves (Laung), Cardamom (Elaichi) Pods/Seeds, Whole Black Pepper Corns, Bay leaf (tej patta), Green Chilli, Curry leaves, Onion, Ginger, Garlic, Homemade tomato puree, Turmeric powder (Haldi), Red Chilli powder, Coriander Powder (Dhania), Salt, Mint Leaves (Pudina)",https://www.archanaskitchen.com/masala-vada-curry-recipe-chana-dal-vada-curry-recipe
Mexican Chicken Soup Recipe,"Onion, Carrot (Gajjar), Celery, Sweet corn, Garlic, Green Chilli, Tomatoes, Chicken breasts, Dried oregano, Red Chilli powder, Cumin powder (Jeera), Coriander (Dhania) Leaves, Chicken stock, Lemon juice, Salt, Oil",https://www.archanaskitchen.com/mexican-chicken-soup-recipe
Kashmiri Style Tamatar Chaman Recipe -Paneer Cooked With Tomatoes,"Paneer (Homemade Cottage Cheese), Tomatoes, Cumin seeds (Jeera), Ajwain (Carom seeds), Kashmiri Red Chilli Powder, Turmeric powder (Haldi), Fennel Powder, Dry ginger powder, Garam masala powder, Mustard oil, Salt",https://www.archanaskitchen.com/tamatar-chaaman-recipe-kashmiri-style-paneer-cooked-with-tomatoes
Paneer Stuffed Bhindi In Ajwain Tomato Gravy Recipe,"Bhindi (Lady Finger/Okra), Paneer (Homemade Cottage Cheese), Red Chilli powder, Coriander Powder (Dhania), Chaat Masala Powder, Salt, Onion, Ginger, Garlic, Ajwain (Carom seeds), Green Chilli, Red Chilli powder, Coriander Powder (Dhania), Turmeric powder (Haldi), Garam masala powder, Homemade tomato puree, Kasuri Methi (Dried Fenugreek Leaves), Oil, Salt",https://www.archanaskitchen.com/paneer-stuffed-bhindi-in-ajwain-tomato-gravy-recipe
Goan Style Tonak Alsanyache Recipe (Black eyed beans cooked in Tonak Masala Recipe),"Black Eyed Beans (Lobia), Potatoes (Aloo), Tamarind Water, Turmeric powder (Haldi), Salt, Onion, Fresh coconut, Green Chilli, Garlic, Coriander (Dhania) Seeds, Cardamom (Elaichi) Pods/Seeds, Cinnamon Stick (Dalchini), Dry Red Chillies, Whole Black Peppercorns, Cloves (Laung), Cumin seeds (Jeera)",https://www.archanaskitchen.com/goan-style-tonak-alsanyache-recipe-black-eyed-beans-cooked-in-tonak-masala-recipe
Thouthe Kodel Recipe (Mangalore Southekayi Curry),"Mangalorean cucumber, Tamarind Water, Arhar dal (Split Toor Dal), Turmeric powder (Haldi), Salt, Oil, Coriander (Dhania) Seeds, Cumin seeds (Jeera), Methi Seeds (Fenugreek Seeds), White Urad Dal (Split), Whole Black Peppercorns, Fresh coconut, Dry Red Chillies, Garlic, Oil, Mustard seeds (Rai/ Kadugu), White Urad Dal (Split), Dry Red Chillies, Garlic, Curry leaves",https://www.archanaskitchen.com/thouthe-kodel-recipe-mangalore-cucumber-curry
Karwar Style Kelya Sasav Recipe-Ripened Banana Relish,"Ripe Bananas, Fresh coconut, Dry Red Chillies, Jaggery, Salt",https://www.archanaskitchen.com/karwar-style-kelya-sasav-recipe-banana-relish-recipe
Beetroot and Carrot Veg balls with sautéed leek Recipe,"Leek, Black sesame seeds, Butter (Salted), Carrots (Gajjar), Beetroot, Paneer (Homemade Cottage Cheese), Ginger, Onion, Dried oregano, Tarragon, Rosemary, Red Chilli flakes, Honey, Gram flour (besan), Salt, Oil",https://www.archanaskitchen.com/ginger-and-carrot-veg-balls-with-sauteed-leek-recipe
Chettinad Style Pepper Mushroom Recipe,"Button mushrooms, Tomato, Green Chilli, Bay leaf (tej patta), Fennel seeds (Saunf), Curry leaves, Coriander (Dhania) Leaves, Oil, Salt, Fresh coconut, Coriander (Dhania) Seeds, Whole Black Peppercorns, Cumin seeds (Jeera), Poppy seeds, Fennel seeds (Saunf), Cinnamon Stick (Dalchini), Cardamom (Elaichi) Pods/Seeds, Cloves (Laung), Star anise, Mace (Javitri), Nutmeg powder, Dry Red Chilli, White Urad Dal (Split), Shallots, Garlic, Ginger, Curry leaves, Turmeric powder (Haldi)",https://www.archanaskitchen.com/chettinad-style-pepper-mushroom-recipe
Restaurant Style Phool Gobhi Masala Recipe,"Cauliflower (gobi), Turmeric powder (Haldi), Mustard oil, Cumin seeds (Jeera), Bay leaf (tej patta), Ginger Garlic Paste, Water, Onion, Water, Garam masala powder, Kashmiri Red Chilli Powder, Homemade tomato puree, Fresh cream, Ghee, Green Chilli, Cashew nuts, Salt",https://www.archanaskitchen.com/restaurant-style-phool-gobhi-masala-recipe
"Greek Style Broken Wheat Salad with Chickpeas, Fresh Mint & Feta - A Mediterranean Powerhouse","Broken Wheat (Dalia/ Godumai Rava), Kabuli Chana (White Chickpeas), Garlic, Onions, Carrot (Gajjar), Red Bell pepper (Capsicum), Broccoli, Cinnamon Powder (Dalchini), Lemon juice, Caster Sugar, Feta Cheese, Mint Leaves (Pudina), Extra Virgin Olive Oil, Salt and Pepper",https://www.archanaskitchen.com/greek-style-broken-wheat-salad-with-chickpeas-fresh-mint-feta-recipe
Spiced Ghee Rice Recipe | Neychoru,"Basmati rice, Onion, Green Chilli, Ginger Garlic Paste, Ghee, Fennel seeds (Saunf), Bay leaf (tej patta), Star anise, Cloves (Laung), Cardamom (Elaichi) Pods/Seeds, Salt, Cashew nuts, Sultana Raisins, Apricots, Water",https://www.archanaskitchen.com/ghee-rice-recipe-neychoru
Konkani Style Southe Koddel Recipe-Mangalore Cucumber in Coconut curry,"Mangalorean cucumber, Tamarind Water, Jaggery, Turmeric powder (Haldi), Salt, Oil, Methi Seeds (Fenugreek Seeds), White Urad Dal (Split), Chana dal (Bengal Gram Dal), Fresh coconut, Cumin seeds (Jeera), Dry Red Chillies, Curry leaves, Garlic, Oil, Mustard seeds (Rai/ Kadugu), White Urad Dal (Split), Curry leaves",https://www.archanaskitchen.com/konkani-style-southe-koddel-recipe-mangalore-cucumber-in-coconut-curry-recipe
Konkan Style Vali Bhajji Ambat Recipe-Spiced Malabar Spinach Dal,"Spinach Leaves (Palak), Arhar dal (Split Toor Dal), Onion, Tomato, Tamarind, Turmeric powder (Haldi), Jaggery, Salt, Fresh coconut, Coriander (Dhania) Seeds, Dry Red Chillies, Mustard seeds (Rai/ Kadugu), Garlic, Oil",https://www.archanaskitchen.com/vali-bhajji-ambat-recipe-konkan-style-spiced-malabar-spinach-dal-recipe
